"","Girth","Height","Volume"
"1",2.17293491873294,70,12.0099449240982
"2",2.25147473507268,65,12.0464548884165
"3",2.30383461263252,63,11.6284799514172
"4",2.74889357189107,72,15.6849862031448
"5",2.8012534494509,81,17.7447723191772
"6",2.82743338823081,83,18.7213691105755
"7",2.87979326579064,66,14.0528544687877
"8",2.87979326579064,75,17.0000125184687
"9",2.90597320457056,80,24.2414953571011
"10",2.93215314335047,75,20.7042233791441
"11",2.95833308213039,79,26.1881554435025
"12",2.9845130209103,76,21.8302434560585
"13",2.9845130209103,76,22.4933018369469
"14",3.06305283725005,69,22.863348900026
"15",3.14159265358979,75,17.1531113406654
"16",3.37721210260903,74,20.6156205719691
"17",3.37721210260903,85,34.9859077590008
"18",3.48193185772869,86,26.309666106828
"19",3.58665161284835,71,24.7154793481864
"20",3.61283155162826,64,24.1789393941766
"21",3.66519142918809,78,35.0600101349088
"22",3.71755130674792,80,31.290771646097
"23",3.79609112308767,74,37.0016895560282
"24",4.18879020478639,72,38.3226933737216
"25",4.26733002112614,77,42.8113597391025
"26",4.52912940892528,81,54.2756591541411
"27",4.58148928648512,82,54.6542093134585
"28",4.68620904160477,80,56.9365233789256
"29",4.71238898038469,80,52.8787491464359
"30",4.71238898038469,80,52.4314478304371
